parcel,parcelno,address,city,zip,homestead,justValue,assessedValue,taxableValue
363S18161200000170,,379 WALTON ROSE LN,INLET BEACH,32461,H,2189691,2087696,2036974
353S18160600050060,,30 ATWOODS CT,INLET BEACH,32461,,5103452,5103452,5103452
363S18161200000180,,383 WALTON ROSE LN,INLET BEACH,32461,,2772139,2237542,2237542
363S18161200000190,,387 WALTON ROSE LN,INLET BEACH,32461,H,2215893,2215893,2165171
363S18161200000220,,135 WINSTON LN,INLET BEACH,32461,,870000,646445,646445
353S18160600050050,,26 ATWOODS CT,INLET BEACH,32461,,5100677,5100677,5100677
353S18160600040010,,280 ROSEMARY AVE,INLET BEACH,32461,,5745070,4441823,4441823
363S18161800000380,,100 GRANDE POINTE CIR,INLET BEACH,32461,,694563,694563,694563
363S18164000000070,,SHARLENE LN,INLET BEACH,32461,,413820,413820,413820
363S18161800000390,,99 GRANDE POINTE CIR,INLET BEACH,32461,,685386,475892,475892
353S18160600050040,,22 ATWOODS CT,INLET BEACH,32461,,4904111,4675577,4675577
363S18161800001060,,318 GRANDE POINTE CIR,INLET BEACH,32461,,698678,698678,698678
353S18160600050030,,18 ATWOODS CT,INLET BEACH,32461,,6181804,6181804,6181804
363S18161800000400,,108 GRANDE POINTE CIR,INLET BEACH,32461,,947372,947372,947372
363S18161800000410,,107 GRANDE POINTE CIR,INLET BEACH,32461,,685386,685386,685386
363S18161000000940,,13210 E US HWY 98,INLET BEACH,32461,,1508,1508,1508
363S18161800000720,,96 GRANDE POINTE DR,INLET BEACH,32461,,742398,540674,540674
363S18161800000730,,97 GRANDE POINTE DR,INLET BEACH,32461,B,685586,685586,634864
353S18160600090050,,30 S BRILAND LN,INLET BEACH,32461,O,6691395,5434582,5383860
353S18160600050090,,262 ROSEMARY AVE,INLET BEACH,32461,,6298936,6298936,6298936
353S18160600090060,,34 S BRILAND LN,INLET BEACH,32461,,6438026,6438026,6438026
363S18161000002033,,,INLET BEACH,32461,,537600,537600,537600
363S18161000001630,,,INLET BEACH,32461,,47720,47720,0
363S18161000001620,,US HWY 98 E,INLET BEACH,32461,,91475,91475,0
363S18166000001090,,81 S ORANGE ST 109,INLET BEACH,32461,,519792,406967,406967
363S18166000001080,,81 S ORANGE ST 108,INLET BEACH,32461,,519792,519792,519792
363S18166000001070,,81 S ORANGE ST 107,INLET BEACH,32461,,519792,519792,519792
363S18166000001060,,81 S ORANGE ST 106,INLET BEACH,32461,,519792,375220,375220
363S18166000001050,,81 S ORANGE ST 105,INLET BEACH,32461,,519792,375220,375220
363S18166000001040,,81 S ORANGE ST 104,INLET BEACH,32461,,519792,406967,406967
363S18166000001030,,81 S ORANGE ST 103,INLET BEACH,32461,,519792,519792,519792
363S18166000001010,,81 S ORANGE ST 101,INLET BEACH,32461,,519792,237377,237377
363S18161160000040,,306 W PARK PLACE AVE,INLET BEACH,32461,,2512180,2512180,2512180
363S18161160000030,,W PARK PLACE AVE,INLET BEACH,32461,,1300964,574617,574617
363S18161160000020,,326 W PARK PLACE AVE,INLET BEACH,32461,,2440451,1418548,1418548
363S18161160000050,,110 S ORANGE ST,INLET BEACH,32461,,2323511,2323511,2323511
363S18161160000060,,92 S ORANGE ST,INLET BEACH,32461,,2112461,2112461,2112461
363S181611600000A0,,,INLET BEACH,32461,,0,0,0
363S18167000002090,,81 S ORANGE ST 209,INLET BEACH,32461,,462000,375220,375220
363S18167000002080,,81 S ORANGE ST 208,INLET BEACH,32461,,462000,462000,462000
363S18167000002070,,81 S ORANGE ST 207,INLET BEACH,32461,,462000,375220,375220
363S18167000002060,,81 S ORANGE ST 206,INLET BEACH,32461,,462000,462000,462000
363S18167000002050,,81 S ORANGE ST 205,INLET BEACH,32461,,462000,462000,462000
363S18167000002040,,81 S ORANGE ST 204,INLET BEACH,32461,,462000,226593,226593
363S18167000002030,,81 S ORANGE ST 203,INLET BEACH,32461,,462000,375220,375220
363S18167000002020,,81 S ORANGE ST 202,INLET BEACH,32461,,462000,420537,420537
363S18167000002010,,81 S ORANGE ST 201,INLET BEACH,32461,,462000,226593,226593
363S18161160000070,,9 POMPANO ST,INLET BEACH,32461,,1804042,1225395,1225395
363S18161160000080,,15 POMPANO ST,INLET BEACH,32461,,2090519,2090519,2090519
363S18161160000090,,23 POMPANO ST,INLET BEACH,32461,,2098924,1757716,1757716
363S18161160000100,,27 POMPANO ST,INLET BEACH,32461,,1964846,1964846,1964846
363S18161000001734,,,INLET BEACH,32461,,159004,159004,159004
363S18161800000110,,64 GRANDE POINTE DR S,INLET BEACH,32461,,901724,901724,901724
363S18161800000100,,GRANDE POINTE DR S,INLET BEACH,32461,,270000,119727,119727
363S18161800000120,,62 GRANDE POINTE DR S,INLET BEACH,32461,H,1041694,1041694,990972
363S18161800000090,,82 GRANDE POINTE DR S,INLET BEACH,32461,H,812923,417731,367009
363S18161800000130,,52 GRANDE POINTE DR S,INLET BEACH,32461,W,1012668,546621,495899
363S18161800000140,,50 GRANDE POINTE DR S,INLET BEACH,32461,,843958,843958,843958
363S18161800000080,,86 GRANDE POINTE DR S,INLET BEACH,32461,,753110,591825,591825
363S18161800000050,,79 GRANDE POINTE DR S,INLET BEACH,32461,,1044524,858441,858441
363S18161800000040,,65 GRANDE POINTE DR S,INLET BEACH,32461,,861405,672526,672526
363S18161800000030,,53 GRANDE POINTE DR S,INLET BEACH,32461,,685748,685748,685748
363S18161700000010,,11 POMPANO PL,INLET BEACH,32461,,2047205,2047205,2047205
363S18161700000020,,19 POMPANO PL,INLET BEACH,32461,,1745092,1433295,1433295
